,Agenda_issue,Belieftruth_tree,Burnt,Camp_site,Chosen_instrument,Empty,Firefighters,Prevention,Run_number,Thick_forest,Thin_forest
19,2,"[-0.35329, -0.41467, -0.9471, -0.82435, 0.11776, 0.157, -0.68933, 0.8366, 1.0, -0.0824]",2927,1157,12.0,4588,9.999999999999966e-20,0.00816985660360312,16,42,932
20,2,"[-0.35525, -0.41995, -0.942, -0.8126, 0.10211, 0.228, -0.67733, 0.83294, 1.0, -0.0816]",2787,1228,12.0,4592,9.999999999999959e-21,0.008352870943242809,16,64,968
21,2,"[-0.35608, -0.42368, -0.94225, -0.80705, 0.09489, 0.266, -0.676, 0.82965, 1.0, -0.077]",2723,1266,12.0,4615,9.999999999999956e-22,0.008517583848918528,16,61,972
22,2,"[-0.3564, -0.42372, -0.94395, -0.8093, 0.0965, 0.251, -0.68733, 0.82668, 1.0, -0.081]",2756,1251,12.0,4595,9.999999999999956e-23,0.008665825464026675,16,61,938
23,2,"[-0.35689, -0.42205, -0.94765, -0.81735, 0.10356, 0.196, -0.716, 0.82402, 1.0, -0.0972]",2969,1196,12.0,4514,9.999999999999951e-24,0.008799242917624007,16,65,852
24,2,"[-0.35664, -0.42032, -0.9494, -0.82205, 0.10876, 0.166, -0.72367, 0.82161, 1.0, -0.0996]",3025,1166,12.0,4502,9.999999999999942e-25,0.008919318625861606,16,61,829
25,2,"[-0.35672, -0.41937, -0.95115, -0.82585, 0.11241, 0.14, -0.73733, 0.81945, 1.0, -0.1048]",3129,1140,12.0,4476,9.999999999999935e-26,0.009027386763275446,16,63,788
26,2,"[-0.35588, -0.41905, -0.94885, -0.8225, 0.11074, 0.166, -0.711, 0.81751, 1.0, -0.0874]",2996,1166,12.0,4563,9.999999999999937e-27,0.009124648086947901,16,52,867
27,2,"[-0.35448, -0.41465, -0.94805, -0.8277, 0.11875, 0.13, -0.70967, 0.81576, 1.0, -0.0808]",2943,1130,12.0,4596,9.999999999999929e-28,0.00921218327825311,16,56,871
28,2,"[-0.35704, -0.42272, -0.95015, -0.8188, 0.10472, 0.194, -0.70967, 0.81418, 1.0, -0.0882]",2943,1194,12.0,4559,9.999999999999918e-29,0.0092909649504278,16,42,871
29,2,"[-0.35713, -0.42214, -0.9493, -0.8193, 0.10503, 0.19, -0.706, 0.81276, 1.0, -0.0888]",2962,1190,12.0,4556,9.999999999999911e-30,0.00936186845538502,16,44,882
30,2,"[-0.35808, -0.42501, -0.9508, -0.81695, 0.10078, 0.207, -0.712, 0.81149, 1.0, -0.0926]",2969,1207,12.0,4537,9.999999999999903e-31,0.009425681609846519,16,40,864
31,2,"[-0.35729, -0.41999, -0.95165, -0.82625, 0.11167, 0.144, -0.72067, 0.81034, 1.0, -0.0994]",3069,1144,12.0,4503,9.999999999999896e-32,0.009483113448861867,16,43,838
32,2,"[-0.35772, -0.42071, -0.94905, -0.82305, 0.10762, 0.165, -0.70433, 0.8093, 1.0, -0.0974]",3021,1165,12.0,4513,9.999999999999898e-33,0.00953480210397568,16,44,887
33,2,"[-0.35896, -0.42331, -0.9469, -0.8182, 0.10027, 0.195, -0.697, 0.80837, 1.0, -0.1018]",2988,1195,12.0,4491,9.999999999999898e-34,0.009581321893578113,16,51,909
34,2,"[-0.35722, -0.41917, -0.9472, -0.8233, 0.10887, 0.159, -0.705, 0.80754, 1.0, -0.0928]",3001,1159,12.0,4536,9.999999999999895e-35,0.009623189704220301,16,57,885
35,2,"[-0.35931, -0.42414, -0.9456, -0.81595, 0.09732, 0.208, -0.69433, 0.80678, 1.0, -0.1008]",2961,1208,12.0,4496,9.999999999999895e-36,0.00966087073379827,16,57,917
36,2,"[-0.35792, -0.42154, -0.94875, -0.8215, 0.10566, 0.174, -0.70633, 0.8061, 1.0, -0.0942]",2969,1174,12.0,4529,9.999999999999889e-37,0.009694783660418444,16,48,881
37,2,"[-0.35855, -0.42243, -0.9494, -0.82165, 0.10454, 0.174, -0.70767, 0.80549, 1.0, -0.0998]",3027,1174,12.0,4501,9.999999999999886e-38,0.0097253052943766,16,45,877
38,2,"[-0.35795, -0.4206, -0.9497, -0.8244, 0.10851, 0.158, -0.70267, 0.80494, 1.0, -0.0968]",3050,1158,12.0,4516,9.99999999999988e-39,0.009752774764938939,16,38,892
39,2,"[-0.35787, -0.42239, -0.9492, -0.82015, 0.10441, 0.182, -0.71233, 0.80445, 1.0, -0.0902]",3025,1182,12.0,4549,9.999999999999877e-40,0.009777497288445045,16,51,863
40,2,"[-0.35846, -0.42471, -0.9461, -0.8136, 0.09668, 0.227, -0.68767, 0.80401, 1.0, -0.0842]",2875,1227,12.0,4579,9.999999999999877e-41,0.00979974755960054,16,47,937
41,2,"[-0.35884, -0.42573, -0.94595, -0.81215, 0.09448, 0.236, -0.68867, 0.8036, 1.0, -0.0854]",2825,1236,12.0,4573,9.999999999999879e-42,0.009819772803640487,16,49,934
42,2,"[-0.35721, -0.42151, -0.94835, -0.81975, 0.10533, 0.182, -0.71467, 0.80324, 1.0, -0.0828]",2916,1182,12.0,4586,9.999999999999871e-43,0.009837795523276438,16,59,856
43,2,"[-0.35742, -0.42152, -0.94785, -0.81965, 0.10482, 0.183, -0.71033, 0.80292, 1.0, -0.0842]",2916,1183,12.0,4579,9.999999999999871e-44,0.009854015970948794,16,58,869
44,2,"[-0.35701, -0.41756, -0.9481, -0.827, 0.11297, 0.133, -0.715, 0.80263, 1.0, -0.0926]",3032,1133,12.0,4537,9.999999999999871e-45,0.009868614373853914,16,61,855
45,2,"[-0.35947, -0.42297, -0.948, -0.821, 0.10207, 0.172, -0.71733, 0.80236, 1.0, -0.1072]",3061,1172,12.0,4464,9.999999999999874e-46,0.009881752936468523,16,64,848
46,2,"[-0.3591, -0.42257, -0.9487, -0.82175, 0.10355, 0.171, -0.71, 0.80213, 1.0, -0.103]",3023,1171,12.0,4485,9.999999999999874e-47,0.009893577642821672,16,52,870
47,2,"[-0.36022, -0.42441, -0.94765, -0.81925, 0.09882, 0.187, -0.705, 0.80192, 1.0, -0.11]",3017,1187,12.0,4450,9.999999999999866e-48,0.009904219878539504,16,54,885
48,2,"[-0.3582, -0.41975, -0.9482, -0.8251, 0.1087, 0.151, -0.69967, 0.80172, 1.0, -0.0982]",3012,1151,12.0,4509,9.999999999999866e-49,0.009913797890685553,16,45,901
49,2,"[-0.35858, -0.41828, -0.9471, -0.8277, 0.11055, 0.132, -0.69733, 0.80155, 1.0, -0.1068]",3069,1132,12.0,4466,9.999999999999857e-50,0.009922418101616998,16,50,908
50,2,"[-0.35777, -0.4157, -0.95055, -0.8347, 0.11916, 0.09, -0.70633, 0.8014, 1.0, -0.1084]",3110,1090,12.0,4458,9.999999999999849e-51,0.009930176291455298,16,36,881
51,2,"[-0.35945, -0.4202, -0.9482, -0.8267, 0.10781, 0.14, -0.70067, 0.80126, 1.0, -0.113]",3129,1140,12.0,4435,9.999999999999852e-52,0.009937158662309768,16,46,898
52,2,"[-0.35833, -0.41837, -0.9445, -0.8244, 0.10775, 0.152, -0.686, 0.80113, 1.0, -0.0992]",3003,1152,12.0,4504,9.999999999999852e-53,0.00994344279607879,16,56,942
53,2,"[-0.35906, -0.42281, -0.94715, -0.81965, 0.10152, 0.188, -0.69067, 0.80102, 1.0, -0.0968]",2962,1188,12.0,4516,9.999999999999855e-54,0.009949098516470911,16,43,928
54,2,"[-0.35807, -0.42129, -0.94645, -0.82, 0.10386, 0.182, -0.697, 0.80092, 1.0, -0.0888]",2942,1182,12.0,4556,9.999999999999855e-55,0.00995418866482382,16,54,909
55,2,"[-0.35647, -0.41729, -0.9475, -0.82585, 0.11292, 0.143, -0.704, 0.80082, 1.0, -0.0824]",2972,1143,12.0,4588,9.99999999999985e-56,0.009958769798341437,16,54,888
56,2,"[-0.35563, -0.41512, -0.9482, -0.8292, 0.11795, 0.124, -0.69867, 0.80074, 1.0, -0.0782]",2971,1124,12.0,4609,9.999999999999853e-57,0.009962892818507294,16,44,904
57,2,"[-0.35766, -0.42334, -0.9464, -0.81505, 0.09973, 0.218, -0.68767, 0.80067, 1.0, -0.075]",2855,1218,12.0,4625,9.999999999999851e-58,0.009966603536656564,16,45,937
58,2,"[-0.35823, -0.42655, -0.9457, -0.80905, 0.0926, 0.252, -0.701, 0.8006, 1.0, -0.073]",2779,1252,12.0,4635,9.999999999999848e-59,0.009969943182990907,16,63,897
59,2,"[-0.35929, -0.42887, -0.94505, -0.8059, 0.08731, 0.271, -0.70267, 0.80054, 1.0, -0.0792]",2785,1271,12.0,4604,9.99999999999984e-60,0.009972948864691817,16,69,892
60,2,"[-0.35737, -0.4212, -0.9473, -0.81965, 0.1049, 0.18, -0.71567, 0.80049, 1.0, -0.0826]",2927,1180,12.0,4587,9.999999999999837e-61,0.009975653978222636,16,67,853
61,2,"[-0.35712, -0.42027, -0.95235, -0.82605, 0.11181, 0.142, -0.73533, 0.80044, 1.0, -0.0888]",3065,1142,12.0,4556,9.999999999999831e-62,0.009978088580400373,16,53,794
62,2,"[-0.35702, -0.42009, -0.9507, -0.82455, 0.11052, 0.151, -0.72733, 0.80039, 1.0, -0.0856]",3028,1151,12.0,4572,9.999999999999828e-63,0.009980279722360336,16,56,818
63,2,"[-0.35784, -0.42234, -0.9498, -0.8208, 0.10511, 0.18, -0.70933, 0.80035, 1.0, -0.086]",3014,1180,12.0,4570,9.999999999999821e-64,0.009982251750124302,16,44,872
64,2,"[-0.35927, -0.42569, -0.94565, -0.8128, 0.09426, 0.229, -0.69467, 0.80032, 1.0, -0.0886]",2874,1229,12.0,4557,9.999999999999816e-65,0.009984026575111871,16,57,916
65,2,"[-0.35898, -0.42473, -0.9486, -0.8171, 0.09914, 0.206, -0.69733, 0.80029, 1.0, -0.0906]",2903,1206,12.0,4547,9.999999999999816e-66,0.009985623917600684,16,40,908
66,2,"[-0.35779, -0.41843, -0.951, -0.8297, 0.11413, 0.124, -0.70733, 0.80026, 1.0, -0.0988]",3046,1124,12.0,4506,9.999999999999818e-67,0.009987061525840616,16,34,878
67,2,"[-0.35873, -0.42333, -0.95075, -0.82155, 0.10409, 0.175, -0.71567, 0.80023, 1.0, -0.096]",3041,1175,12.0,4520,9.99999999999981e-68,0.009988355373256555,16,44,853
68,2,"[-0.35844, -0.42151, -0.9515, -0.82535, 0.10848, 0.148, -0.72567, 0.80021, 1.0, -0.1]",3124,1148,12.0,4500,9.999999999999813e-69,0.0099895198359309,16,49,823
69,2,"[-0.35938, -0.4236, -0.9466, -0.81815, 0.0994, 0.194, -0.699, 0.80019, 1.0, -0.0982]",2977,1194,12.0,4509,9.999999999999809e-70,0.00999056785233781,16,55,903
70,2,"[-0.35671, -0.41585, -0.9459, -0.8276, 0.11419, 0.131, -0.69433, 0.80017, 1.0, -0.0872]",2957,1131,12.0,4564,9.999999999999812e-71,0.009991511067104029,16,55,917
71,2,"[-0.3576, -0.41751, -0.9468, -0.827, 0.11179, 0.139, -0.68833, 0.80015, 1.0, -0.0936]",2961,1139,12.0,4532,9.999999999999802e-72,0.009992359960393625,16,43,935
72,2,"[-0.36041, -0.42666, -0.9454, -0.8129, 0.09207, 0.229, -0.691, 0.80014, 1.0, -0.0998]",2911,1229,12.0,4501,9.999999999999796e-73,0.009993123964354263,16,55,927
73,2,"[-0.36272, -0.43307, -0.94795, -0.80725, 0.08182, 0.267, -0.707, 0.80012, 1.0, -0.1132]",3014,1267,12.0,4434,9.999999999999791e-74,0.009993811567918837,16,54,879
74,2,"[-0.36063, -0.4261, -0.94675, -0.8158, 0.09454, 0.208, -0.705, 0.80011, 1.0, -0.1074]",3003,1208,12.0,4463,9.999999999999782e-75,0.009994430411126954,16,60,885
75,2,"[-0.35885, -0.41925, -0.94585, -0.82505, 0.10734, 0.149, -0.691, 0.8001, 1.0, -0.104]",3030,1149,12.0,4480,9.999999999999774e-76,0.009994987370014259,16,52,927
76,2,"[-0.35712, -0.416, -0.94845, -0.8307, 0.11646, 0.112, -0.70633, 0.80009, 1.0, -0.0958]",3081,1112,12.0,4521,9.999999999999774e-77,0.009995488633012833,16,50,881
77,2,"[-0.35774, -0.41814, -0.9455, -0.8247, 0.10922, 0.149, -0.69567, 0.80008, 1.0, -0.0932]",2989,1149,12.0,4534,9.999999999999777e-78,0.00999593976971155,16,59,913
78,2,"[-0.35745, -0.4186, -0.94785, -0.82555, 0.11065, 0.144, -0.70933, 0.80007, 1.0, -0.0914]",3014,1144,12.0,4543,9.999999999999781e-79,0.009996345792740394,16,57,872
79,2,"[-0.35959, -0.42542, -0.9462, -0.81455, 0.09537, 0.218, -0.69633, 0.80007, 1.0, -0.0942]",2927,1218,12.0,4529,9.999999999999778e-80,0.009996711213466354,16,55,911
80,2,"[-0.35933, -0.42373, -0.9416, -0.8128, 0.09413, 0.224, -0.68267, 0.80006, 1.0, -0.091]",2853,1224,12.0,4545,9.99999999999977e-81,0.009997040092119719,16,72,952
81,2,"[-0.36111, -0.42816, -0.94325, -0.80915, 0.08693, 0.252, -0.68267, 0.80005, 1.0, -0.1012]",2876,1252,12.0,4494,9.999999999999766e-82,0.009997336082907747,16,61,952
82,2,"[-0.36166, -0.42888, -0.94245, -0.808, 0.08469, 0.257, -0.68533, 0.80005, 1.0, -0.1058]",2899,1257,12.0,4471,9.999999999999766e-83,0.009997602474616972,16,69,944
83,2,"[-0.35946, -0.42103, -0.9438, -0.82065, 0.10173, 0.174, -0.69033, 0.80004, 1.0, -0.1044]",2930,1174,12.0,4478,9.999999999999763e-84,0.009997842227155275,16,65,929
84,2,"[-0.35922, -0.41832, -0.94565, -0.82745, 0.10901, 0.128, -0.70467, 0.80004, 1.0, -0.1136]",3056,1128,12.0,4432,9.999999999999763e-85,0.009998058004439748,16,67,886
85,2,"[-0.35925, -0.41878, -0.94605, -0.827, 0.10849, 0.134, -0.69833, 0.80003, 1.0, -0.112]",3061,1134,12.0,4440,9.999999999999763e-86,0.009998252203995773,16,58,905
86,2,"[-0.36026, -0.42184, -0.9472, -0.82405, 0.10353, 0.155, -0.702, 0.80003, 1.0, -0.1166]",3069,1155,12.0,4417,9.99999999999976e-87,0.009998426983596195,16,54,894
87,2,"[-0.35965, -0.41843, -0.94635, -0.8288, 0.10949, 0.122, -0.70033, 0.80003, 1.0, -0.119]",3121,1122,12.0,4405,9.999999999999749e-88,0.009998584285236575,16,58,899
88,2,"[-0.35728, -0.41356, -0.9462, -0.83365, 0.11909, 0.092, -0.69233, 0.80003, 1.0, -0.1024]",3078,1092,12.0,4488,9.999999999999747e-89,0.009998725856712918,16,51,923
89,2,"[-0.35765, -0.41623, -0.94585, -0.8287, 0.1134, 0.12, -0.705, 0.80002, 1.0, -0.0998]",3058,1120,12.0,4501,9.999999999999744e-90,0.009998853271041625,16,66,885
